,summary,config,name
0,"{'val/cer': 0.060788411647081375, '_runtime': 9787, 'val/loss': 0.11920423060655594, 'train/loss': 0.14355222880840302, 'trainer/global_step': 17655, '_step': 360, 'epoch': 14, 'test/cer': 0.17172250151634216, '_timestamp': 1627082333}","{'lr': 0.001, 'seed': 1234, 'gamma': 0.5, 'nhead': 4, 'd_model': 128, 'dropout': 0.3, 'milestones': [10], 'lit_model/lr': 0.001, 'trainer/gpus': 1, 'weight_decay': 0.0001, 'logger/project': 'image-to-latex', 'max_output_len': 150, 'data/batch_size': 64, 'data/pin_memory': True, 'dim_feedforward': 256, 'lit_model/gamma': 0.5, 'lit_model/nhead': 4, 'data/num_workers': 1, 'lit_model/d_model': 128, 'lit_model/dropout': 0.3, 'num_decoder_layers': 3, 'trainer/max_epochs': 15, 'trainer/min_epochs': 1, 'lit_model/milestones': [10], 'trainer/auto_lr_find': False, 'trainer/fast_dev_run': False, 'lit_model/weight_decay': 0.0001, 'trainer/overfit_batches': 0, 'lit_model/max_output_len': 150, 'lit_model/dim_feedforward': 256, 'trainer/checkpoint_callback': True, 'lit_model/num_decoder_layers': 3, 'trainer/num_sanity_val_steps': 0, 'callbacks/early_stopping/mode': 'min', 'callbacks/model_checkpoint/mode': 'min', 'trainer/check_val_every_n_epoch': 2, 'callbacks/early_stopping/monitor': 'val/loss', 'callbacks/early_stopping/patience': 3, 'callbacks/early_stopping/min_delta': 0.001, 'callbacks/model_checkpoint/monitor': 'val/loss', 'callbacks/model_checkpoint/filename': '{epoch}-{val/loss:.2f}-{val/cer:.2f}', 'callbacks/model_checkpoint/save_top_k': 1, 'callbacks/model_checkpoint/save_weights_only': True}",dauntless-bush-52
1,"{'_timestamp': 1623465414, 'train_loss': 0.09943154089165251, 'edit_distance': 82.61729845403754, 'bleu': 82.60196027718023, '_step': 59, 'epoch': 30, '_runtime': 1995, 'val_loss': 0.12229020530848128}","{'lr': 0.001, 'max_lr': 0.0031992671377973833, 'tf_dim': 128, 'patience': 10, 'tf_nhead': 4, 'tf_fc_dim': 256, 'tf_layers': 4, 'batch_size': 128, 'beam_width': 1, 'max_epochs': 30, 'model_name': 'ResnetTransformer', 'tf_dropout': 0.2, 'num_workers': 2, 'resnet_layers': 3, 'use_scheduler': True, 'max_output_len': 250, 'save_best_model': True}",winter-wood-37
